,reviews,ratings
0,Selling China products and charging for original ones..,1.0 out of 5 stars
1,Defective AirPods pro,1.0 out of 5 stars
2,Okay sound. Great convenience. Excellent pair of earphones.,4.0 out of 5 stars
3,Be aware of replacement policy,1.0 out of 5 stars
4,Check serial no. Of apple products on apple coverage site if you buy from this cheater seller.,1.0 out of 5 stars
5,Duplicate Product,1.0 out of 5 stars
6,Don't use AMAZON FOR THIS GO WITH FLIPKART,1.0 out of 5 stars
7,Solid product by apple,4.0 out of 5 stars
8,Verify Serial Number after Purchase,1.0 out of 5 stars
9,Different Serial Numbers on everything.,1.0 out of 5 stars
10,THIS IS A SCAM,1.0 out of 5 stars
11,Duplicate product. Issues with connecting to devices,1.0 out of 5 stars
12,Fake amazon,1.0 out of 5 stars
13,Received fake and old airpods pro,1.0 out of 5 stars
14,Fake product,1.0 out of 5 stars
15,Best one!!!,5.0 out of 5 stars
16,Not recommended at all,1.0 out of 5 stars
17,A legend with some shortcomings,3.0 out of 5 stars
18,Battery Issue,1.0 out of 5 stars
19,Duplicate China product received,1.0 out of 5 stars
20,Keeps falling out of the ears - Not a recommended buy,1.0 out of 5 stars
21,Duplicate and Defective Product given,1.0 out of 5 stars
22,It’s a good at what it does . Zero complaints,5.0 out of 5 stars
23,Fake product!!,1.0 out of 5 stars
24,My airpods pro not getting on its dead on arrival,1.0 out of 5 stars
25,Fake/ Duplicate Product received,1.0 out of 5 stars
26,Please do not buy this product,1.0 out of 5 stars
27,Jack of all Trades..and.. Master too (except few areas),4.0 out of 5 stars
28,Go for it..,5.0 out of 5 stars
29,Fake product received,1.0 out of 5 stars
30,Bad product worse service,1.0 out of 5 stars
31,Painful Wearing These.,2.0 out of 5 stars
32,All good except the Mics. And it’s too much of a hassle for invoking warranty,4.0 out of 5 stars
33,"Good connectivity, noise cancellation, but terrible sound quality",2.0 out of 5 stars
34,Not right fit for me.,2.0 out of 5 stars
35,A great option for Apple ecosystem users but not the best,4.0 out of 5 stars
36,They're good,5.0 out of 5 stars
37,Fake item,1.0 out of 5 stars
38,Total defective product do not buy,1.0 out of 5 stars
39,Proper serious competitor for other brands,5.0 out of 5 stars
40,Worst experience in my first order,1.0 out of 5 stars
41,Classy!,5.0 out of 5 stars
42,Best for Apple Device.,5.0 out of 5 stars
43,"If you think these sound great, you’ve never owned a decent pair!",3.0 out of 5 stars
44,After a long time apple made such a solid product.,3.0 out of 5 stars
45,Apple fan and not an audiophile 14 days later,4.0 out of 5 stars
46,Fake Product,1.0 out of 5 stars
47,DO NOT BUY from Amazon,1.0 out of 5 stars
48,Failed in 14 months,1.0 out of 5 stars
49,Best option for iOS users!,5.0 out of 5 stars
50,You can own it if you got money,5.0 out of 5 stars
51,"They are good , but keep these things in mind!!",4.0 out of 5 stars
52,Perfect if you’ve got apple devices.,5.0 out of 5 stars
53,Allrounder,4.0 out of 5 stars
54,Excellent product from apple but connectivity can improve,4.0 out of 5 stars
55,Actually Premium,4.0 out of 5 stars
56,Good but not so good,3.0 out of 5 stars
57,Pathetic mic quality on calls. Unusable,1.0 out of 5 stars
58,10 days replacement my foot,1.0 out of 5 stars
59,"Takes a week to get used to as opposed to the first gen airpod, but definitely a worthy product",5.0 out of 5 stars
60,Honest review,5.0 out of 5 stars
61,"Amazing sound, poor battery backup.",4.0 out of 5 stars
62,To many issues,1.0 out of 5 stars
63,Airpods Pro poor quality - recommend Do Not Buy,1.0 out of 5 stars
64,Was expecting this to be better than AirPods.,4.0 out of 5 stars
65,Make sure the seller is Appario Retail Private Ltd to get Genuine Products,5.0 out of 5 stars
66,Jack of all trades!!,5.0 out of 5 stars
67,Nice product from apple,5.0 out of 5 stars
68,Great fit for Apple ecosystem,5.0 out of 5 stars
69,"Nice, if you can spare that kind of money.",5.0 out of 5 stars
70,"Amazon take care of there customers,thank u",2.0 out of 5 stars
71,Noise Cancellation at its best,5.0 out of 5 stars
72,Amazing,4.0 out of 5 stars
73,Regret buying Apple Airpods on Amazon,1.0 out of 5 stars
74,Good addition to Apple Family,5.0 out of 5 stars
75,Good product but lengthy service to resolve issue “Apple policies “,5.0 out of 5 stars
76,Hell of a product from Apple,5.0 out of 5 stars
77,Not to buy this. Product doesn’t qualify basic usability standards,1.0 out of 5 stars
78,Wish these pods lasted for decades. It’s use and throw sadly,4.0 out of 5 stars
79,Comfy and compact,5.0 out of 5 stars
80,Good in looks but not in sound,1.0 out of 5 stars
81,"Fake product, active noise cancellation not working at all",1.0 out of 5 stars
82,Surprise ! This is inconsistent and unreliable,2.0 out of 5 stars
83,It's Airpods Pro what else you can expect,4.0 out of 5 stars
84,Amazing,5.0 out of 5 stars
85,King of TWS and ANC!!!,5.0 out of 5 stars
86,Must have for iPhones,5.0 out of 5 stars
87,Fake Airpods Pro,1.0 out of 5 stars
88,"If want genuine Apple Product, please don’t buy it through Amazon.",1.0 out of 5 stars
89,Best ear pods for iPhones,5.0 out of 5 stars
90,"Jack of all trades, master of none",4.0 out of 5 stars
91,Expensive but worth the quality,4.0 out of 5 stars
92,Great pair of wireless earphones if you’re not an audiophile,4.0 out of 5 stars
93,I know it is Apple,5.0 out of 5 stars
94,Beyond measures,5.0 out of 5 stars
95,Awesome 😎 worthy for the money 💰,5.0 out of 5 stars
96,Not worth it!,1.0 out of 5 stars
97,Very useful buy,5.0 out of 5 stars
98,Heavenly perfect!!!,5.0 out of 5 stars
99,Incredibly satisfying,5.0 out of 5 stars
100,Awesome Go For It,5.0 out of 5 stars
101,Sr. Number is different on invoice,1.0 out of 5 stars
102,One of the airpods battery doesn't even last 1 hour,2.0 out of 5 stars
103,Defective product,1.0 out of 5 stars
104,Worst service from Amazon,1.0 out of 5 stars
105,Absolutely Convenient & Dope Noise Cancellation,5.0 out of 5 stars
106,"good sound, great noise cancellation, ok battery life.",4.0 out of 5 stars
107,Perfect fit and Noise cancellation - Best for Apple devices,5.0 out of 5 stars
108,Big NO to apple products from amazon,1.0 out of 5 stars
109,Limited experience with Android,4.0 out of 5 stars
110,Airpods Review,4.0 out of 5 stars
111,Fake And Used product delivered,1.0 out of 5 stars
112,Received Faulty Used Airpods,1.0 out of 5 stars
113,I want to return it immediately,1.0 out of 5 stars
114,"Best purchase, best build quality, best audio with apple music",5.0 out of 5 stars
115,Most unfortunate experience from amazon and apple both,2.0 out of 5 stars
116,Wow,5.0 out of 5 stars
117,iPhone companion,5.0 out of 5 stars
118,"You can buy for compatibility, comfort & Anytime responding Siri without a touch",3.0 out of 5 stars
119,Great Product in Small Package ..... 👍🏻,5.0 out of 5 stars
